"Reference: Paré D., Bernier, Y., Lafleur, B., Titus, B.D., Thiffault, E., Maynard, D.G., Guo, X. 2013. Estimating stand-scale biomass, nutrient contents and associated uncertainties for tree species of Canadian forests. Can. J. For. Res. 43: 599-608",,,,,,
,,,,,,
"Parameters for estimating biomass (ton/ha, Biomass_tha) at the plot level from species basal area (m2/ha, Bs_m2ha) and total plot basal area (m2/ha, Bt_m2ha)",,,,,,
Biomass_tha = a * (Bs_m2ha^b) * (Bt_m2ha^c),,,,,,
"* for All species, Biomass_tha = a + b * Bt_m2ha",,,,,,
,,,,,,
"Parameters for estimating the standard deviation of biomass estimates (ton/ha, SD_tha) at the plot level from species basal area (m2/ha, Bs_m2ha) ",,,,,,
SD_tha = d * (Bt_m2ha^e),,,,,,
,,,,,,
Species,Component,a,b,c,d,e
All conifers,Bark,0.2798,1.0492,0.0273,0.1341,0.7625
All conifers,Branch,0.3823,1.1146,-0.058,0.2844,0.7772
All conifers,Foliage,0.6334,0.885,-0.007,0.3199,0.6838
All conifers,Stemwood,1.7247,1.1083,0.0018,0.676,0.9376
All hardwoods,Bark,0.4464,1.0719,0.0218,0.1667,0.8352
All hardwoods,Branch,0.6226,1.1272,-0.0004,0.3322,1.0339
All hardwoods,Foliage,0.2772,0.8496,-0.0025,0.2237,0.4312
All hardwoods,Stemwood,2.5311,1.1119,0.0057,0.8873,0.917
*All species,Bark,-0.0032,0.3948,,0.1885,0.8017
*All species,Branch,-0.0074,0.5423,,0.4089,0.84
*All species,Foliage,0.0048,0.3898,,0.7332,0.4674
*All species,Stemwood,-0.0517,2.6131,,2.1641,0.6227
Any conifer,Bark,0.2902,1.0409,0.0288,0.0872,0.7664
Any conifer,Branch,0.3944,1.0249,0.0203,0.158,0.7297
Any conifer,Foliage,0.6075,0.9333,-0.0515,0.2039,0.7067
Any conifer,Stemwood,1.8254,1.0704,0.0303,0.7301,0.7954
Any hardwood,Bark,0.4467,1.0693,0.0335,0.1578,0.7727
Any hardwood,Branch,0.6295,1.0968,0.0315,0.3278,0.8096
Any hardwood,Foliage,0.2653,0.8723,-0.0255,0.1024,0.6157
Any hardwood,Stemwood,2.5911,1.0844,0.0323,0.8806,0.8098
Any species,Bark,0.3544,0.989,0.0502,0.116,0.7311
Any species,Branch,0.4717,1.0061,0.0393,0.2281,0.7115
Any species,Foliage,0.4946,1.002,-0.0879,0.163,0.7279
Any species,Stemwood,2.1499,1.0246,0.0456,0.7902,0.7889
Abies amabilis,Bark,0.2591,1.0726,-0.0128,0.0779,0.8308
Abies amabilis,Branch,0.5867,1.0321,-0.0166,0.1866,0.6819
Abies amabilis,Foliage,0.6932,1.0057,-0.0092,0.15,0.6993
Abies amabilis,Stemwood,1.7764,1.0643,-0.0266,0.5123,0.8154
Abies balsamea,Bark,0.3076,1.0512,0.0034,0.0892,0.8151
Abies balsamea,Branch,0.286,1.0598,0.0219,0.1363,0.8149
Abies balsamea,Foliage,0.6075,0.9332,-0.0142,0.2095,0.6936
Abies balsamea,Stemwood,1.6209,1.0571,0.0038,0.4712,0.8495
Abies lasiocar,Bark,0.3362,1.1032,-0.0174,0.1196,0.8325
Abies lasiocar,Branch,0.73,1.0832,-0.02,0.221,0.8697
Abies lasiocar,Foliage,0.5583,1.0077,-0.0085,0.2093,0.8478
