"Reference: M.-C. Lambert, C.-H. Ung, and F. Raulier 2005. Canadian national biomass equations. Can. J. For. Res 35: 1996-2018. ",,,,,,,
"Reference: Ung, C.-H., Bernier, P., Guo, X.-J. 2008. Canadian national biomass equations: new parameter estimates that include British Columbia data. Can. J. For. Res 38:1123-2232.",,,,,,,
,,,,,,,
"Parameters for biomass equation for estimating biomass (Kg, Biomass_kg) at the tree scale from DBH (cm, D_cm) and height (m, H_m)",,,,,,,
Biomass_kg = a * D_cm^b * H_m^c,,,,,,,
Species_en,Essence_fr,Component_en,Component_fr,a,b,c,Reference
Deciduous,Feuillus,Bark,Écorce,0.009,1.8677,0.7144,Ung 2008
Deciduous,Feuillus,Branches,Branche,0.0448,2.6855,-0.5911,Ung 2008
Deciduous,Feuillus,Foliage,Feuillage,0.0869,1.8541,-0.5491,Ung 2008
Deciduous,Feuillus,Wood,Bois,0.0353,2.0249,0.7048,Ung 2008
Conifers,Conifères,Bark,Écorce,0.0101,1.8486,0.5525,Ung 2008
Conifers,Conifères,Branches,Branche,0.0313,2.9974,-1.0383,Ung 2008
Conifers,Conifères,Foliage,Feuillage,0.1379,2.3981,-1.0418,Ung 2008
Conifers,Conifères,Wood,Bois,0.0276,1.6868,1.0953,Ung 2008
All,Tous,Bark,Écorce,0.012,1.6378,0.7746,Ung 2008
All,Tous,Branches,Branche,0.0338,2.6624,-0.5743,Ung 2008
All,Tous,Foliage,Feuillage,0.1699,2.3289,-1.1316,Ung 2008
All,Tous,Wood,Bois,0.0283,1.8298,0.9546,Ung 2008
Balsam fir,Sapin baumier,Bark,Écorce,0.0053,2.0876,0.5842,Lambert 2005
Balsam fir,Sapin baumier,Branches,Branche,0.0117,3.5097,-1.3006,Lambert 2005
Balsam fir,Sapin baumier,Foliage,Feuillage,0.1245,2.523,-1.123,Lambert 2005
Balsam fir,Sapin baumier,Wood,Bois,0.0294,1.8357,0.864,Lambert 2005
Balsam poplar,Peuplier baumier,Bark,Écorce,0.018,1.8131,0.5144,Lambert 2005
Balsam poplar,Peuplier baumier,Branches,Branche,0.0112,3.0861,-0.7164,Lambert 2005
Balsam poplar,Peuplier baumier,Foliage,Feuillage,0.0617,1.8615,-0.5375,Lambert 2005
Balsam poplar,Peuplier baumier,Wood,Bois,0.0117,1.7757,1.2555,Lambert 2005
Basswood,Tilleul d'Amérique,Bark,Écorce,0.0057,1.5881,1.1472,Lambert 2005
